Type of article,Article Title,DOI ,Author,Year,Animal,Animal type,Farming country,Mineral premix included? (Y/N),Type of premix (trace element or not),Proxy? (Y/N),Proxy name,Details,Likelihood of premix dependence,
Accepted,Life cycle assessment of 36 dairy farms with by-product feeding in Southwestern China,10.1016/j.scitotenv.2019.133985,Wang et al,2019,Cattle,Cattle,China,N,,,,Only raw materials are assessed.,,
Accepted,Reducing the environmental impacts of Brazilian chicken meat production using different waste recovery strategies,10.1016/j.jenvman.2023.118021,Araújo dos Santos et al,2023,Chicken,Chicken,Brazil,N,,,,"feed complements, salt, and limestone were removed for better identification of the other flows and for not having viable substitutes within the aim of the study"". I assumed this meant they did not include mineral premix",,
Accepted,Environmental performance of copper-alloy Net-pens: Life cycle assessment of Atlantic salmon grow-out in copper-alloy and nylon net-pens,10.1016/j.aquaculture.2015.11.028,Ayer et al,2016,Atlantic salmon,Fish/Crustaceans,Chile,N,,,,"Used the feed formulation and model feed from Pelletier et al (2009): 10.1021/es9010114, which didn't include mineral premix",,
Accepted,The Assessment of Environmental Impact of the Chicken Meat Agroindustry in Indonesia: Life Cycle Assessment (LCA) Perspective,10.5398/tasj.2023.46.2.249,Azmi et al,2023,Chicken,Chicken,Indonesia,N,,,,Did not include minerals in the inventory,,
Accepted,Quantification and control of the greenhouse gas emissions from a dairy cow system,http://dx.doi.org/10.1016/j.jclepro.2014.02.010,Baek et al ,2014,Cattle,Cattle,Korea,N,,,,"Email response from corresponding authour says that they did not include mineral premix. Still investigating. They use values from this report: Lee, K.M., Park, K.H., 2012. Development of Carbon Tracing System for Livestock Agriculture, “Development of LCI DB and Estimation of Greenhouse Gas from Feedstuff”. Research report. National Institute of Animal Science of the Republic of Korea. They acknowledge that TMR includes premix, but it's not clear if this is included in the LCA",,Sent email to clairify 20-04-24
Accepted,Implications of uncertainty and variability in the life cycle assessment of pig production systems,10.1065/lca2005.08.219,Basset-Mens,2006,Pig,Pig,France,N,,,,"Data for feed production (involving, amongst others: grinding, heating, mixing, pelleting) were from van der Werf et al. (2005). In Werf et al (2005), premix is in the inventory, but not in the flow diagram, so we assumed that it was not included in the LCA",,
Accepted,Life cycle assessment of diets for gilthead seabream (Sparus aurata) with different protein/carbohydrate ratios and fishmeal or plant feedstuffs as main protein sources,https://doi.org/10.1007/s11367-019-01625-7,Basto-Silva,2019,Sea Bream,Fish/Crustaceans,Portugal,N,,,,"All ingredients used in the formulated diets with a contribution of less than 1% of dry weight (lysine, taurine, vitamin mix, mineral mix, binder, choline chloride) were not evaluated in the present study.",,
Accepted,Life cycle assessment of greenhouse gas emissions from beef production in western Canada: A case study,10.1016/j.agsy.2010.03.008,Beauchemin et al,2010,Cattle,Cattle,Canada,N,,,,Not listed in inventory - only a few crops were used,,
Accepted,Mitigation of greenhouse gas emissions from beef production in western Canada – Evaluation using farm-based life cycle assessment,10.1016/j.anifeedsci.2011.04.047,Beauchemin et al,2011,Cattle,Cattle,Canada,N,,,,Not listed in inventory- only a few crops and distillers grain was used,,
Accepted,"Life-cycle analysis of soybean meal, distiller-dried grains with solubles, and synthetic amino acid-based animal feeds for swine and poultry production",https://doi.org/10.1016/j.anifeedsci.2020.114607,Benavides et al,2020,Chicken,Chicken,USA,N,,,,"Production and use of vitamins, trace minerals, and other pharmaceutical components were assumed similar within a given type of animal diet and were not included in this analysis.",,
Accepted,"Life-cycle analysis of soybean meal, distiller-dried grains with solubles, and synthetic amino acid-based animal feeds for swine and poultry production",https://doi.org/10.1016/j.anifeedsci.2020.114607,Benavides et al,2020,Pig,Pig,USA,N,,,,"Production and use of vitamins, trace minerals, and other pharmaceutical components were assumed similar within a given type of animal diet and were not included in this analysis.",,
Accepted,Cradle to retailer or quick service restaurant gate life cycle assessment of chicken products in Australia,http://dx.doi.org/10.1016/j.jclepro.2012.09.034,Bengtsson et al,2013,Chicken,Chicken,Australia,N,,,,Not listed in inventory,,
Accepted,Recirculating Aquaculture Is Possible without Major Energy Tradeoff: Life Cycle Assessment of Warmwater Fish Farming in Sweden,https://dx.doi.org/10.1021/acs.est.0c01100,Bergman et al ,2020,Tilapia,Fish/Crustaceans,Sweden,N,,,,"""Microingredients, such as vitamins and amino acids, were excluded since detailed composition and inventory data were lacking"". I assumed this included the mineral premix",,
Accepted,Consequential-based life cycle assessment of reducing the concentrates supply level in the diet fed to lactating cows in the alpine dairy farming system,https://doi.org/10.1080/1828051X.2022.2155586,Berton et al,2023,Cattle,Cattle,Italy and Austria,N,,,,Not listed in inventory,,
Accepted,Life cycle assessment of common carp (Cyprinus carpio L.) – A comparison of the environmental impacts of conventional and organic carp aquaculture in Germany,https://doi.org/10.1016/j.aquaculture.2018.10.019,Biermann and Geist,2019,Carp,Fish/Crustaceans,Germany,N,,,,Not listed in inventory. Note: inventory is in Supplementary Data,,
Accepted,Life Cycle Assessment of Chinese Shrimp Farming Systems Targeted for Export and Domestic Sales,https://doi.org/10.1021/es104058z,Cao et al,2011,Shrimp,Fish/Crustaceans,China,N,,,,"Not listed in inventory. ""Since no background information was available about binder, soybean lecithin, vitamin and mineral premix, and vitamin C, and their contribution to the total ration less than 5%, they were excluded in the analysis""",,
Accepted,Quantification of GHG emissions from sucker-beef production in Ireland,10.1016/j.agsy.2005.11.008,Casey and Holden,2006,Cattle,Cattle,Ireland,N,,,,"Included 'supplements', but these did not include any added minerals (just plants)",,
Accepted,Comparative life cycle assessment of aquaponics and hydroponics in the Midwestern United States,https://doi.org/10.1016/j.jclepro.2020.122888,Chen et al,2020,Tilapia,Fish/Crustaceans,USA,N,,,,"Used LCA inventory from Avadi et al (2015), which explicitly excluded mineral premix from the LCA. ",,
Accepted,Uncertainty in LCA case study due to allocation approaches and life cycle impact assessment methods,https://doi.org/10.1007/s11367-017-1432-6,Cherubini et al,2018,Pig,Pig,Brazil,N,,,,Not included in the inventory,,
Accepted,A life cycle assessment study of dairy farms in northern Germany: The influence of performance parameters on environmental efficiency,https://doi.org/10.1016/j.jenvman.2020.111127,Drews et al,2020,Cattle,Cattle,Germany,N,,,,Not included in the inventory,,
Accepted,"Life Cycle Assessment of Nile Tilapia (Oreochromis niloticus) Farming in Kenyir Lake, Terengganu",10.3390/su12062268,Dullah et al ,2020,Tilapia,Fish/Crustaceans,Malaysia,N,,,,Not included in the inventory,,
Accepted,LIFE CYCLE ASSESSMENT OF POINT-OF-LAY BIRDS TO FROZEN CHICKEN PRODUCTION IN A TROPICAL ENVIRONMENT,10.29081/jesr.v23i1.89,Ewemoje et al,2017,Chicken,Chicken,Nigeria,N,,,,No information about feed composition was given. It is assumed that mineral premix was not included,,
Accepted,"Comparative energy, economic and environmental analyses of forage production systems for dairy farming",10.1016/j.jclepro.2018.02.073,Fathollahi et al,2018,Cattle,Cattle,Iran,N,,,,"Didn't inlcude the mineral premix, BUT not sure they would have used a premix anyway.... not sure what to do with this ",,
